from_user|to_user|text
e2pilot|N/A|"There is no defense for a man like @DrAliselim who believes there are ""medical reasons"" for the mutilation of girls… https://t.co/c9yDwMl9nl"
FinnanEileen|LiveAction|"RT @LiveAction: Actor Stephen Baldwin on whether Christians can support abortion: ""You can’t be pro-choice and call yourself a follower of…"
FinnanEileen|N/A|"RT @LiveAction: Actor Stephen Baldwin on whether Christians can support abortion: ""You can’t be pro-choice and call yourself a follower of…"
PALakerFan|Gospa_Messages|RT @Gospa_Messages: Protectress of the Unborn, Our Lady of Guadalupe - Please prevent one abortion for each decade of the Rosary said. http…
PALakerFan|N/A|RT @Gospa_Messages: Protectress of the Unborn, Our Lady of Guadalupe - Please prevent one abortion for each decade of the Rosary said. http…
JoeMGoldner|LifeNewsHQ|RT @LifeNewsHQ: West Virginia Senate Passes Bill Confirming There is “No Right to Abortion” https://t.co/duoQSVKXtd https://t.co/KR1ICqDKzJ
JoeMGoldner|N/A|RT @LifeNewsHQ: West Virginia Senate Passes Bill Confirming There is “No Right to Abortion” https://t.co/duoQSVKXtd https://t.co/KR1ICqDKzJ
timparish511|POLITICSandFUN|RT @POLITICSandFUN: Worst Genocides In Modern History: Mao Zedong  34,300,000+💀Stalin                 23,000,000+💀Hitler…
timparish511|N/A|RT @POLITICSandFUN: Worst Genocides In Modern History: Mao Zedong  34,300,000+💀Stalin                 23,000,000+💀Hitler…
gojiberrygranol|ABC7Chicago|RT @ABC7Chicago: Feds: anti-abortion activist linked to Christian terror group planned clinic attacks: https://t.co/KCTHjfgriV https://t.co…
gojiberrygranol|N/A|RT @ABC7Chicago: Feds: anti-abortion activist linked to Christian terror group planned clinic attacks: https://t.co/KCTHjfgriV https://t.co…
LdM_BeachGirl|Kragar_LGF|"RT @Kragar_LGF: ""anti-abortion activist""Nope, the word you're looking for is TERRORIST https://t.co/ApaDiJDRFQ"
LdM_BeachGirl|N/A|"RT @Kragar_LGF: ""anti-abortion activist""Nope, the word you're looking for is TERRORIST https://t.co/ApaDiJDRFQ"
VABVOX|AnneMorrowCoop1|@AnneMorrowCoop1 Everyone is pro-life. You mean you're anti-abortion. It's perfectly okay to be personally anti-abo… https://t.co/k1FgeGYm6o
VABVOX|AnneMorrowCoop1|@AnneMorrowCoop1 Everyone is pro-life. You mean you're anti-abortion. It's perfectly okay to be personally anti-abo… https://t.co/k1FgeGYm6o
LilHomie_Julia|webster|RT @webster: Minnesota House republicans have introduced a bill requiring providers to retain abortion records and ultrasounds for 30 years…
LilHomie_Julia|N/A|RT @webster: Minnesota House republicans have introduced a bill requiring providers to retain abortion records and ultrasounds for 30 years…
MistaZiggy|goodoldcatchy|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
MistaZiggy|N/A|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
PadraigSagart|lifefrontsquare|RT @lifefrontsquare: Facts (from a neutral source) about foetal development before 12 weeks' gestation. Pls share widely - we all need to b…
PadraigSagart|N/A|RT @lifefrontsquare: Facts (from a neutral source) about foetal development before 12 weeks' gestation. Pls share widely - we all need to b…
wefrieds|EquityForward|RT @EquityForward: Let's tell new HHS Secretary Alex Azar that anti-abortion crusader Scott Lloyd is unfit for his position. Does Sec. Azar…
wefrieds|N/A|RT @EquityForward: Let's tell new HHS Secretary Alex Azar that anti-abortion crusader Scott Lloyd is unfit for his position. Does Sec. Azar…
katiedwards98|CorbinHoblit|RT @CorbinHoblit: I'M SO PROUD THAT THE WONDERFUL STATE OF OHIO CHOSE TO SAVE LIVES INSTEAD OF SUPPORTING MURDER https://t.co/hNYf6B6c5a
katiedwards98|N/A|RT @CorbinHoblit: I'M SO PROUD THAT THE WONDERFUL STATE OF OHIO CHOSE TO SAVE LIVES INSTEAD OF SUPPORTING MURDER https://t.co/hNYf6B6c5a
dr2dpoor|Liz_Wheeler|@Liz_Wheeler If you don’t know what you’re talking about, it is a lot better to just shut the fuck up !  Abortion i… https://t.co/3gl3RHLkyD
dr2dpoor|Liz_Wheeler|@Liz_Wheeler If you don’t know what you’re talking about, it is a lot better to just shut the fuck up !  Abortion i… https://t.co/3gl3RHLkyD
rosecaroline9|Savethe8thInfo|RT @Savethe8thInfo: A GROUP of nearly 80 parents of disabled children said they will not “go away and be quiet” in the ­abortion debate. Di…
rosecaroline9|N/A|RT @Savethe8thInfo: A GROUP of nearly 80 parents of disabled children said they will not “go away and be quiet” in the ­abortion debate. Di…
BattleAxe00|LiveAction|RT @LiveAction: The emotional anguish women experience after abortion is compounded through society's dehumanization of preborn children. M…
BattleAxe00|N/A|RT @LiveAction: The emotional anguish women experience after abortion is compounded through society's dehumanization of preborn children. M…
KHMakerD|JordanUhl|RT @JordanUhl: *Terrorist https://t.co/XYBni4jLoK
KHMakerD|N/A|RT @JordanUhl: *Terrorist https://t.co/XYBni4jLoK
VAGITATOR|CWNic|@CWNic @LokiLoptr They do. They talk about abortion like it's denying a woman her purpose. As if you and I are not enough as individuals.
VAGITATOR|CWNic|@CWNic @LokiLoptr They do. They talk about abortion like it's denying a woman her purpose. As if you and I are not enough as individuals.
VAGITATOR|LokiLoptr|@CWNic @LokiLoptr They do. They talk about abortion like it's denying a woman her purpose. As if you and I are not enough as individuals.
violettemontiel|POLITICSandFUN|RT @POLITICSandFUN: Worst Genocides In Modern History: Mao Zedong  34,300,000+💀Stalin                 23,000,000+💀Hitler…
violettemontiel|N/A|RT @POLITICSandFUN: Worst Genocides In Modern History: Mao Zedong  34,300,000+💀Stalin                 23,000,000+💀Hitler…
panolan2|N/A|Roe wanted this overturned. https://t.co/Lq1IMZjaKZ
lanky1972|LiveActionNews|RT @LiveActionNews: Actor Stephen Baldwin: You can't be Christian and support abortion.  https://t.co/eTnOkVqPo6
lanky1972|N/A|RT @LiveActionNews: Actor Stephen Baldwin: You can't be Christian and support abortion.  https://t.co/eTnOkVqPo6
CaptRaven|goodoldcatchy|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
CaptRaven|N/A|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
fayekutschman1|Jaye_inUSA|RT @Jaye_inUSA: Our legislators are getting very wealthy on the DEATHS of our MOST precious,                    MOST innocent,…
fayekutschman1|N/A|RT @Jaye_inUSA: Our legislators are getting very wealthy on the DEATHS of our MOST precious,                    MOST innocent,…
dawnkirch|POLITICSandFUN|RT @POLITICSandFUN: Worst Genocides In Modern History: Mao Zedong  34,300,000+💀Stalin                 23,000,000+💀Hitler…
dawnkirch|N/A|RT @POLITICSandFUN: Worst Genocides In Modern History: Mao Zedong  34,300,000+💀Stalin                 23,000,000+💀Hitler…
LawlessRoisin|LawlessRoisin|RT @LawlessRoisin: All pregnancies come to an end, one way or another. Devaluing and dehumanising unborn humans to justify ending their liv…
LawlessRoisin|N/A|RT @LawlessRoisin: All pregnancies come to an end, one way or another. Devaluing and dehumanising unborn humans to justify ending their liv…
johnathonmedium|LifeNewsHQ|RT @LifeNewsHQ: Pregnant at 12 She Rejected Abortion. 20 Years Later She Has No Regrets https://t.co/wSjQwP6Q0L https://t.co/hh5TQ47jpe
johnathonmedium|N/A|RT @LifeNewsHQ: Pregnant at 12 She Rejected Abortion. 20 Years Later She Has No Regrets https://t.co/wSjQwP6Q0L https://t.co/hh5TQ47jpe
Rewire_News|N/A|"Police using ""human trafficking"" or vice raids as excuses to punish sex workers isn’t that uncommon — listen to Wha… https://t.co/8wFrOzgN2Y"
kmclc2016brutus|BrewtonDoug|RT @BrewtonDoug: VIDEO: Pastor Slams Senators Who Rejected Abortion Measure and Leaders Who Blessed Planned Parenthood https://t.co/WhZ9dzi…
kmclc2016brutus|N/A|RT @BrewtonDoug: VIDEO: Pastor Slams Senators Who Rejected Abortion Measure and Leaders Who Blessed Planned Parenthood https://t.co/WhZ9dzi…
halfpint6891|SeeCeeCeeSee|@SeeCeeCeeSee @MichaelO1711 @WillHEknowUs @arknomad @Michael_Voris Sadly many women on oral contraceptives have had… https://t.co/zC4V0xAEuo
halfpint6891|SeeCeeCeeSee|@SeeCeeCeeSee @MichaelO1711 @WillHEknowUs @arknomad @Michael_Voris Sadly many women on oral contraceptives have had… https://t.co/zC4V0xAEuo
halfpint6891|MichaelO1711|@SeeCeeCeeSee @MichaelO1711 @WillHEknowUs @arknomad @Michael_Voris Sadly many women on oral contraceptives have had… https://t.co/zC4V0xAEuo
halfpint6891|WillHEknowUs|@SeeCeeCeeSee @MichaelO1711 @WillHEknowUs @arknomad @Michael_Voris Sadly many women on oral contraceptives have had… https://t.co/zC4V0xAEuo
halfpint6891|arknomad|@SeeCeeCeeSee @MichaelO1711 @WillHEknowUs @arknomad @Michael_Voris Sadly many women on oral contraceptives have had… https://t.co/zC4V0xAEuo
halfpint6891|Michael_Voris|@SeeCeeCeeSee @MichaelO1711 @WillHEknowUs @arknomad @Michael_Voris Sadly many women on oral contraceptives have had… https://t.co/zC4V0xAEuo
Morr_1980|VABVOX|RT @VABVOX: Terrorist.You meant to say #terrorist.When you plan to kill people for your political agenda, that's terrorism.Look it up. h…
Morr_1980|N/A|RT @VABVOX: Terrorist.You meant to say #terrorist.When you plan to kill people for your political agenda, that's terrorism.Look it up. h…
nellsstar|DougSides|RT @DougSides: 😂🤣😂What Clinton Blamed This Week For Her Election Loss...😡👉🏼 What happened was you went on national television in the final…
nellsstar|N/A|RT @DougSides: 😂🤣😂What Clinton Blamed This Week For Her Election Loss...😡👉🏼 What happened was you went on national television in the final…
lynn__rin|goodoldcatchy|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
lynn__rin|N/A|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
salimachr|Willamansett|RT @Willamansett: @sassysassyred @GrizzleMeister Germans should take a stand against Merkel when German women are being assaulted by Muslim…
salimachr|sassysassyred|RT @Willamansett: @sassysassyred @GrizzleMeister Germans should take a stand against Merkel when German women are being assaulted by Muslim…
salimachr|GrizzleMeister|RT @Willamansett: @sassysassyred @GrizzleMeister Germans should take a stand against Merkel when German women are being assaulted by Muslim…
salimachr|N/A|RT @Willamansett: @sassysassyred @GrizzleMeister Germans should take a stand against Merkel when German women are being assaulted by Muslim…
WolfeTone15|CultureShifting|RT @CultureShifting: Over 153,000 human beings are killed by abortion every day. Each one of these people would have made their mark on our…
WolfeTone15|N/A|RT @CultureShifting: Over 153,000 human beings are killed by abortion every day. Each one of these people would have made their mark on our…
jabberwocky888|Doctors4Choice|RT @Doctors4Choice: Did you know that the average maternal mortality ratio is 3 times higher in countries with more restrictive abortion la…
jabberwocky888|N/A|RT @Doctors4Choice: Did you know that the average maternal mortality ratio is 3 times higher in countries with more restrictive abortion la…
MandyGall7|Savethe8thInfo|RT @Savethe8thInfo: But 1 abortion campaigner in MACROOM tried 2 stop pro-life message being shown &amp; attempted 2 VANDALISE the van. True to…
MandyGall7|N/A|RT @Savethe8thInfo: But 1 abortion campaigner in MACROOM tried 2 stop pro-life message being shown &amp; attempted 2 VANDALISE the van. True to…
EVERGREENSTWA|LiveAction|RT @LiveAction: Brother of woman who died from abortion at Planned Parenthood: “Justice has not been given to my sister. I lost two people…
EVERGREENSTWA|N/A|RT @LiveAction: Brother of woman who died from abortion at Planned Parenthood: “Justice has not been given to my sister. I lost two people…
GrainOfSands|smartdissent|RT @smartdissent: #SmartDissent is a Database tracking actions by #Trump &amp; #Congress sorted by topic. See our #WomensRights page: https://t…
GrainOfSands|N/A|RT @smartdissent: #SmartDissent is a Database tracking actions by #Trump &amp; #Congress sorted by topic. See our #WomensRights page: https://t…
LoveOireachtas|cnalive|RT @cnalive: “U.S. tax dollars have no business going to organizations that are unwilling to pursue health outcomes for every person and in…
LoveOireachtas|N/A|RT @cnalive: “U.S. tax dollars have no business going to organizations that are unwilling to pursue health outcomes for every person and in…
mariaeliaaa_|goodoldcatchy|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
mariaeliaaa_|N/A|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
jay_mounea|goodoldcatchy|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
jay_mounea|N/A|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
nickmitt18|CorbinHoblit|RT @CorbinHoblit: I'M SO PROUD THAT THE WONDERFUL STATE OF OHIO CHOSE TO SAVE LIVES INSTEAD OF SUPPORTING MURDER https://t.co/hNYf6B6c5a
nickmitt18|N/A|RT @CorbinHoblit: I'M SO PROUD THAT THE WONDERFUL STATE OF OHIO CHOSE TO SAVE LIVES INSTEAD OF SUPPORTING MURDER https://t.co/hNYf6B6c5a
kisscaitlyn|JordanUhl|RT @JordanUhl: *Terrorist https://t.co/XYBni4jLoK
kisscaitlyn|N/A|RT @JordanUhl: *Terrorist https://t.co/XYBni4jLoK
NotthatSuzanne|N/A|Oh fuck, I've got in an argument on Facebook about the church and abortion.  I'm an atheist who is #prochoice and it's not going well.
Brigid_Ire|IrishTimes|RT @IrishTimes: Former government minister Lucinda Creighton has accused the media of bias on the issue of abortion.https://t.co/0iyq1zLl…
Brigid_Ire|N/A|RT @IrishTimes: Former government minister Lucinda Creighton has accused the media of bias on the issue of abortion.https://t.co/0iyq1zLl…
timparish511|N/A|Worst Genocides In Modern History: Mao Zedong  34,300,000+💀Stalin                 23,000,000+💀Hitler… https://t.co/5qM09FUKz6
ReportGovtCrime|POLITICSandFUN|RT @POLITICSandFUN: Worst Genocides In Modern History: Mao Zedong  34,300,000+💀Stalin                 23,000,000+💀Hitler…
ReportGovtCrime|N/A|RT @POLITICSandFUN: Worst Genocides In Modern History: Mao Zedong  34,300,000+💀Stalin                 23,000,000+💀Hitler…
MandyGall7|LawlessRoisin|RT @LawlessRoisin: Ireland has a Maternal death rate of 6.5 per 100,000.This is extremely low compared with a rate of 8.8 per 100,000 in t…
MandyGall7|N/A|RT @LawlessRoisin: Ireland has a Maternal death rate of 6.5 per 100,000.This is extremely low compared with a rate of 8.8 per 100,000 in t…
drdammie|SubDeliveryZone|@SubDeliveryZone It's illegal in Nigeria.Both the abortor and the abortee will be arrested according to section 100… https://t.co/nICA44Hcw7
drdammie|SubDeliveryZone|@SubDeliveryZone It's illegal in Nigeria.Both the abortor and the abortee will be arrested according to section 100… https://t.co/nICA44Hcw7
lidia_lidiadim|GeorgiaDirtRoad|RT @GeorgiaDirtRoad: Listen as this Abortion doctor describes what happens during 2nd term abortions. His speech may be the most powerful y…
lidia_lidiadim|N/A|RT @GeorgiaDirtRoad: Listen as this Abortion doctor describes what happens during 2nd term abortions. His speech may be the most powerful y…
yarnydeb|N/A|https://t.co/VYUy4QIXSY https://t.co/g9IkckqlsG
Brigid_Ire|RamRaid15|RT @RamRaid15: Not even in the full throes of the referendum push and already #repealthe8th vandals are out against free speech. https://t.…
Brigid_Ire|N/A|RT @RamRaid15: Not even in the full throes of the referendum push and already #repealthe8th vandals are out against free speech. https://t.…
brandonmillaan|Kragar_LGF|"RT @Kragar_LGF: ""anti-abortion activist""Nope, the word you're looking for is TERRORIST https://t.co/ApaDiJDRFQ"
brandonmillaan|N/A|"RT @Kragar_LGF: ""anti-abortion activist""Nope, the word you're looking for is TERRORIST https://t.co/ApaDiJDRFQ"
tyler3doyle6|goodoldcatchy|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
tyler3doyle6|N/A|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
Gabriel4Justice|marypatriott|RT @marypatriott: Who wd have thought we’d see day when 95% of American media actively effectively lie to We the People in order to protect…
Gabriel4Justice|N/A|RT @marypatriott: Who wd have thought we’d see day when 95% of American media actively effectively lie to We the People in order to protect…
rosecaroline9|Savethe8thInfo|RT @Savethe8thInfo: Great letter in the Irish Times today refuting Peter Boylans assertion that abortion for babies with Down... https://t.…
rosecaroline9|N/A|RT @Savethe8thInfo: Great letter in the Irish Times today refuting Peter Boylans assertion that abortion for babies with Down... https://t.…
MichaelO1711|N/A|WELL SAID....BUT IT'S ALL ABOUT MONEY...BIG BUSINESS...😦 https://t.co/AmqjE93ubs
jdj1112|nrlc|RT @nrlc: Late-term abortion ban fuel emotions of abortion advocates   https://t.co/QpwVpS2HAB #TheyFeelPain #AbortionHurts @Right_to_Life…
jdj1112|Right_to_Life|RT @nrlc: Late-term abortion ban fuel emotions of abortion advocates   https://t.co/QpwVpS2HAB #TheyFeelPain #AbortionHurts @Right_to_Life…
jdj1112|N/A|RT @nrlc: Late-term abortion ban fuel emotions of abortion advocates   https://t.co/QpwVpS2HAB #TheyFeelPain #AbortionHurts @Right_to_Life…
MerlinGyr|EquityForward|RT @EquityForward: Let's tell new HHS Secretary Alex Azar that anti-abortion crusader Scott Lloyd is unfit for his position. Does Sec. Azar…
MerlinGyr|N/A|RT @EquityForward: Let's tell new HHS Secretary Alex Azar that anti-abortion crusader Scott Lloyd is unfit for his position. Does Sec. Azar…
Galaxy500X11X|POLITICSandFUN|RT @POLITICSandFUN: Worst Genocides In Modern History: Mao Zedong  34,300,000+💀Stalin                 23,000,000+💀Hitler…
Galaxy500X11X|N/A|RT @POLITICSandFUN: Worst Genocides In Modern History: Mao Zedong  34,300,000+💀Stalin                 23,000,000+💀Hitler…
DeliciousDlites|AbortionCare|RT @AbortionCare: Anti-abortion politicians across the country are trying to force abortion care providers to share stigmatizing, medically…
DeliciousDlites|N/A|RT @AbortionCare: Anti-abortion politicians across the country are trying to force abortion care providers to share stigmatizing, medically…
pascalg15|trainspeedhump|"RT @trainspeedhump: It never was an ""affair of the heart"" or a relationship between people who were ""madly in love"" - @Barnaby_Joyce is a c…"
pascalg15|Barnaby_Joyce|"RT @trainspeedhump: It never was an ""affair of the heart"" or a relationship between people who were ""madly in love"" - @Barnaby_Joyce is a c…"
pascalg15|N/A|"RT @trainspeedhump: It never was an ""affair of the heart"" or a relationship between people who were ""madly in love"" - @Barnaby_Joyce is a c…"
AmyLeBelle|N/A|Kudos😍,  Good for you W.Virginia Senators!🇺🇸💖🇺🇸 https://t.co/WBMWNHNXbw
EamonReilly_com|ExposeMediaBias|RT @ExposeMediaBias: #knowyourrepealers - the smug shark happy with the law being broken https://t.co/pZkdruLzrU
EamonReilly_com|N/A|RT @ExposeMediaBias: #knowyourrepealers - the smug shark happy with the law being broken https://t.co/pZkdruLzrU
micahjmurray|N/A|progressive christians should not be inclusive oppression and injustice https://t.co/E79dtegRFK
BigBasilSr|LifeNewsHQ|RT @LifeNewsHQ: West Virginia Senate Passes Bill Confirming There is “No Right to Abortion” https://t.co/duoQSVKXtd https://t.co/KR1ICqDKzJ
BigBasilSr|N/A|RT @LifeNewsHQ: West Virginia Senate Passes Bill Confirming There is “No Right to Abortion” https://t.co/duoQSVKXtd https://t.co/KR1ICqDKzJ
WolfeTone15|FingalForLife|RT @FingalForLife: A government minister , paid by taxpayers , attacking the constitution.  A women’s group , also paid by taxpayers, attac…
WolfeTone15|N/A|RT @FingalForLife: A government minister , paid by taxpayers , attacking the constitution.  A women’s group , also paid by taxpayers, attac…
Chase_Bienert97|goodoldcatchy|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
Chase_Bienert97|N/A|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
Crashy1243|Megan4MAGA|RT @Megan4MAGA: Canada is trying to FORCE abortion &amp; transgerdism on Catholics yet they're not going down easy.. how about stop forcing cra…
Crashy1243|N/A|RT @Megan4MAGA: Canada is trying to FORCE abortion &amp; transgerdism on Catholics yet they're not going down easy.. how about stop forcing cra…
Lynda49908879|Education4Libs|RT @Education4Libs: Let’s get this straight.Protests in the streets against Trump.Fine.Protests in the streets against abortion.Fin…
Lynda49908879|N/A|RT @Education4Libs: Let’s get this straight.Protests in the streets against Trump.Fine.Protests in the streets against abortion.Fin…
MaryAnneGruen|schemaly|"RT @schemaly: This bs is why the ""anti-patriarchy movement"" is going to take over legislatures. Arizona lawmakers want to make doctors ask…"
MaryAnneGruen|N/A|"RT @schemaly: This bs is why the ""anti-patriarchy movement"" is going to take over legislatures. Arizona lawmakers want to make doctors ask…"
Comodo679|blagbtweets|@blagbtweets @EamonReilly_com It's inside the pale too I can assure you but we have no voice in the media. Huge ves… https://t.co/PXuvUhTYw8
Comodo679|blagbtweets|@blagbtweets @EamonReilly_com It's inside the pale too I can assure you but we have no voice in the media. Huge ves… https://t.co/PXuvUhTYw8
Comodo679|EamonReilly_com|@blagbtweets @EamonReilly_com It's inside the pale too I can assure you but we have no voice in the media. Huge ves… https://t.co/PXuvUhTYw8
jasonemryss|Rewire_News|"RT @Rewire_News: Police using ""human trafficking"" or vice raids as excuses to punish sex workers isn’t that uncommon — listen to What Else…"
jasonemryss|N/A|"RT @Rewire_News: Police using ""human trafficking"" or vice raids as excuses to punish sex workers isn’t that uncommon — listen to What Else…"
XuerebPeter|NoreenBQuinn|RT @NoreenBQuinn: Those who vote for abortion will become COMPLICIT in the killing of millions of children.. AND for making life extremely…
XuerebPeter|N/A|RT @NoreenBQuinn: Those who vote for abortion will become COMPLICIT in the killing of millions of children.. AND for making life extremely…
LOnogoro|POLITICSandFUN|RT @POLITICSandFUN: Worst Genocides In Modern History: Mao Zedong  34,300,000+💀Stalin                 23,000,000+💀Hitler…
LOnogoro|N/A|RT @POLITICSandFUN: Worst Genocides In Modern History: Mao Zedong  34,300,000+💀Stalin                 23,000,000+💀Hitler…
GuyLovingGod|PotatoNDisguise|"RT @PotatoNDisguise: Definitions...•    ""Healthcare: the maintenance and improvement of physical and mental health.""•    ""Abortion: the…"
GuyLovingGod|N/A|"RT @PotatoNDisguise: Definitions...•    ""Healthcare: the maintenance and improvement of physical and mental health.""•    ""Abortion: the…"
SSmasterpiece|Watchman2016|RT @Watchman2016: I've noticed that whenever I post any tweet pertaining to #ProLife or #Abortion that i get very little  #Evangelical #Chr…
SSmasterpiece|N/A|RT @Watchman2016: I've noticed that whenever I post any tweet pertaining to #ProLife or #Abortion that i get very little  #Evangelical #Chr…
Debby_Villegas|GeorgiaDirtRoad|RT @GeorgiaDirtRoad: Listen as this Abortion doctor describes what happens during 2nd term abortions. His speech may be the most powerful y…
Debby_Villegas|N/A|RT @GeorgiaDirtRoad: Listen as this Abortion doctor describes what happens during 2nd term abortions. His speech may be the most powerful y…
Kurtrocity|N/A|Animals don't have personhood therefore it's ok to eat them. Pro-Choice vegans are contradicting themselves. If we… https://t.co/ND4Q1P6wNK
WolfeTone15|marconiemma|RT @marconiemma: Lucinda we need you at this moment.  We need your voice to help us defend the unborn child. https://t.co/fjGJ2WIqUo
WolfeTone15|N/A|RT @marconiemma: Lucinda we need you at this moment.  We need your voice to help us defend the unborn child. https://t.co/fjGJ2WIqUo
ThreeOfSevens|goodoldcatchy|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
ThreeOfSevens|N/A|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
growiing|N/A|No shock another white terrorist is Christian https://t.co/JSVgIJddzy
ANurseAmongMen|Hegemommy|RT @Hegemommy: We call them terrorists just FYI https://t.co/BedNTTRKE4
ANurseAmongMen|N/A|RT @Hegemommy: We call them terrorists just FYI https://t.co/BedNTTRKE4
k_enz0|goodoldcatchy|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
k_enz0|N/A|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
CoyHamp|marypatriott|RT @marypatriott: Who wd have thought we’d see day when 95% of American media actively effectively lie to We the People in order to protect…
CoyHamp|N/A|RT @marypatriott: Who wd have thought we’d see day when 95% of American media actively effectively lie to We the People in order to protect…
whatsitalabut|lifeinstitute|RT @lifeinstitute: Training people in Cavan for the #Lifecanvass so we can go knocking on doors to SAVE the 8th, thank you to everyone who…
whatsitalabut|N/A|RT @lifeinstitute: Training people in Cavan for the #Lifecanvass so we can go knocking on doors to SAVE the 8th, thank you to everyone who…
nancyb810|GeorgiaDirtRoad|RT @GeorgiaDirtRoad: Listen as this Abortion doctor describes what happens during 2nd term abortions. His speech may be the most powerful y…
nancyb810|N/A|RT @GeorgiaDirtRoad: Listen as this Abortion doctor describes what happens during 2nd term abortions. His speech may be the most powerful y…
darthhatter00|LiveAction|RT @LiveAction: The emotional anguish women experience after abortion is compounded through society's dehumanization of preborn children. M…
darthhatter00|N/A|RT @LiveAction: The emotional anguish women experience after abortion is compounded through society's dehumanization of preborn children. M…
croyce62|ReproRights|RT @ReproRights: One doctor in Chicago is working to fill in the gaps of medical training to provide abortion care for patients. https://t.…
croyce62|N/A|RT @ReproRights: One doctor in Chicago is working to fill in the gaps of medical training to provide abortion care for patients. https://t.…
Jamie_brown1|InsidersABC|@InsidersABC Barney Weinstein has form. Why no story on the teenager her chased into a toilet?? The staffer he made… https://t.co/PMJ47aTgXD
Jamie_brown1|InsidersABC|@InsidersABC Barney Weinstein has form. Why no story on the teenager her chased into a toilet?? The staffer he made… https://t.co/PMJ47aTgXD
MarkeyDiane|LiveAction|"RT @LiveAction: Niece of Martin Luther King, Jr. speaks out against Planned Parenthood: ""Abortion mills or clinics are in predominantly bla…"
MarkeyDiane|N/A|"RT @LiveAction: Niece of Martin Luther King, Jr. speaks out against Planned Parenthood: ""Abortion mills or clinics are in predominantly bla…"
AnniB_OxonFLO|goodoldcatchy|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
AnniB_OxonFLO|N/A|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
Tuume90|goodoldcatchy|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
Tuume90|N/A|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
rosecaroline9|Savethe8thInfo|RT @Savethe8thInfo: Right now in Parnell Street, Dublin. We're shining a light on the horror of abortion. In the UK, 1 in 5 babies is abort…
rosecaroline9|N/A|RT @Savethe8thInfo: Right now in Parnell Street, Dublin. We're shining a light on the horror of abortion. In the UK, 1 in 5 babies is abort…
RoseDandylion|arthur_affect|"RT @arthur_affect: I'm not a PhD in the field but I thought if he was linked to a ""terror group"" and he himself planned to attack people th…"
RoseDandylion|N/A|"RT @arthur_affect: I'm not a PhD in the field but I thought if he was linked to a ""terror group"" and he himself planned to attack people th…"
CarolynDower|Slate|David Brooks misunderstands women’s health in frustrating and disturbing ways: https://t.co/Etq5hp1nNi via @slate
